word1,word2,taxonomic_distance,cosine_similarity,cosine_distance
vessel,luge,4,-0.010699020698666573,1.0106990206986666
vessel,toboggan,4,-0.05964326485991478,1.0596432648599148
galley,ship,2,0.09661951661109924,0.9033804833889008
galley,yacht,2,0.4282056987285614,0.5717943012714386
galley,boat,2,0.42991572618484497,0.570084273815155
galley,hovercraft,3,0.644481360912323,0.355518639087677
galley,spacecraft,3,0.7551237940788269,0.2448762059211731
galley,starship,4,0.2954097390174866,0.7045902609825134
galley,lander,4,-0.028846969828009605,1.0288469698280096
galley,steamroller,4,0.581101655960083,0.418898344039917
galley,sled,4,0.08698946237564087,0.9130105376243591
galley,bobsled,5,-0.11349768191576004,1.11349768191576
galley,luge,5,-0.3220874071121216,1.3220874071121216
galley,toboggan,5,0.0772319883108139,0.9227680116891861
ship,yacht,2,0.03367257118225098,0.966327428817749
ship,boat,2,0.23261892795562744,0.7673810720443726
ship,hovercraft,3,0.20263798534870148,0.7973620146512985
ship,spacecraft,3,0.07603375613689423,0.9239662438631058
ship,starship,4,0.4016551971435547,0.5983448028564453
ship,lander,4,-0.20009049773216248,1.2000904977321625
ship,steamroller,4,0.028085529804229736,0.9719144701957703
ship,sled,4,0.3412303924560547,0.6587696075439453
ship,bobsled,5,-0.31852447986602783,1.3185244798660278
ship,luge,5,0.27372562885284424,0.7262743711471558
ship,toboggan,5,0.19049549102783203,0.809504508972168
yacht,boat,2,0.6037271022796631,0.3962728977203369
yacht,hovercraft,3,-0.052830226719379425,1.0528302267193794
yacht,spacecraft,3,0.27397510409355164,0.7260248959064484
yacht,starship,4,0.1976223587989807,0.8023776412010193
yacht,lander,4,0.06564435362815857,0.9343556463718414
yacht,steamroller,4,0.2862006723880768,0.7137993276119232
yacht,sled,4,-0.05877520143985748,1.0587752014398575
yacht,bobsled,5,0.09701517224311829,0.9029848277568817
yacht,luge,5,-0.5256466269493103,1.5256466269493103
yacht,toboggan,5,0.0894966572523117,0.9105033427476883
boat,hovercraft,3,0.5894877910614014,0.41051220893859863
boat,spacecraft,3,0.2234717458486557,0.7765282541513443
boat,starship,4,0.36807557940483093,0.6319244205951691
boat,lander,4,0.2813403308391571,0.7186596691608429
boat,steamroller,4,0.751799464225769,0.24820053577423096
boat,sled,4,0.5467056632041931,0.4532943367958069
boat,bobsled,5,0.5062849521636963,0.4937150478363037
boat,luge,5,0.03636389225721359,0.9636361077427864
boat,toboggan,5,0.6654735207557678,0.3345264792442322
hovercraft,spacecraft,2,0.454336941242218,0.545663058757782
hovercraft,starship,3,0.4232054650783539,0.5767945349216461
hovercraft,lander,3,0.17834116518497467,0.8216588348150253
hovercraft,steamroller,3,0.783547043800354,0.216452956199646
hovercraft,sled,3,0.4685046076774597,0.5314953923225403
hovercraft,bobsled,4,0.3146137297153473,0.6853862702846527
hovercraft,luge,4,0.2508486807346344,0.7491513192653656
hovercraft,toboggan,4,0.5403223037719727,0.45967769622802734
spacecraft,starship,1,0.4521247148513794,0.5478752851486206
spacecraft,lander,1,0.012829691171646118,0.9871703088283539
spacecraft,steamroller,3,0.4278584122657776,0.5721415877342224
spacecraft,sled,3,0.05959029495716095,0.940409705042839
spacecraft,bobsled,4,-0.18481659889221191,1.184816598892212
spacecraft,luge,4,-0.21995793282985687,1.2199579328298569
spacecraft,toboggan,4,-0.08019662648439407,1.080196626484394
starship,lander,2,0.28822195529937744,0.7117780447006226
starship,steamroller,4,0.3584318459033966,0.6415681540966034
starship,sled,4,0.44998377561569214,0.5500162243843079
starship,bobsled,5,-0.26019102334976196,1.260191023349762
starship,luge,5,0.4734914302825928,0.5265085697174072
starship,toboggan,5,0.045893505215644836,0.9541064947843552
lander,steamroller,4,0.42993879318237305,0.570061206817627
lander,sled,4,0.5761200785636902,0.4238799214363098
lander,bobsled,5,0.12032952904701233,0.8796704709529877
lander,luge,5,0.5119268894195557,0.48807311058044434
lander,toboggan,5,0.14685064554214478,0.8531493544578552
steamroller,sled,2,0.5178627967834473,0.48213720321655273
steamroller,bobsled,3,0.3393440246582031,0.6606559753417969
steamroller,luge,3,0.062101759016513824,0.9378982409834862
steamroller,toboggan,3,0.4759156107902527,0.5240843892097473
sled,bobsled,1,0.007866308093070984,0.992133691906929
sled,luge,1,0.7100355625152588,0.2899644374847412
sled,toboggan,1,0.5244191884994507,0.4755808115005493
bobsled,luge,2,-0.0944419801235199,1.09444198012352
bobsled,toboggan,2,0.6155032515525818,0.3844967484474182
luge,toboggan,2,0.15037381649017334,0.8496261835098267
