word1,word2,taxonomic_distance,cosine_similarity,cosine_distance
sidewinder,spacecraft,5,0.2288691401481628,0.7711308598518372
sidewinder,starship,6,0.2137337774038314,0.7862662225961686
sidewinder,lander,6,0.3040127158164978,0.6959872841835022
sidewinder,steamroller,4,0.2905978560447693,0.7094021439552307
sidewinder,sled,4,0.1808815747499466,0.8191184252500534
sidewinder,bobsled,5,0.2048042863607406,0.7951957136392593
sidewinder,luge,5,0.2160762995481491,0.7839237004518509
sidewinder,toboggan,5,0.2038130760192871,0.7961869239807129
craft,aircraft,1,0.3201290369033813,0.6798709630966187
craft,vessel,1,0.4559178650379181,0.5440821349620819
craft,galley,2,0.437913030385971,0.5620869696140289
craft,ship,2,0.4284678995609283,0.5715321004390717
craft,yacht,2,0.3741398751735687,0.6258601248264313
craft,boat,2,0.434874951839447,0.565125048160553
craft,hovercraft,1,0.3892134428024292,0.6107865571975708
craft,spacecraft,1,0.3627087473869324,0.6372912526130676
craft,starship,2,0.3124407529830932,0.6875592470169067
craft,lander,2,0.2224979698657989,0.777502030134201
craft,steamroller,2,0.2442291527986526,0.7557708472013474
craft,sled,2,0.2688136696815491,0.7311863303184509
craft,bobsled,3,0.2767103314399719,0.7232896685600281
craft,luge,3,0.3195125460624695,0.6804874539375305
craft,toboggan,3,0.1960853934288025,0.8039146065711975
aircraft,vessel,2,0.423114538192749,0.576885461807251
aircraft,galley,3,0.3880481719970703,0.6119518280029297
aircraft,ship,3,0.3596581220626831,0.6403418779373169
aircraft,yacht,3,0.3556035161018371,0.6443964838981628
aircraft,boat,3,0.457590103149414,0.5424098968505859
aircraft,hovercraft,2,0.3207316994667053,0.6792683005332947
aircraft,spacecraft,2,0.5179961323738098,0.4820038676261902
aircraft,starship,3,0.3749841153621673,0.6250158846378326
aircraft,lander,3,0.3086229562759399,0.6913770437240601
aircraft,steamroller,3,0.367782324552536,0.632217675447464
aircraft,sled,3,0.2457758784294128,0.7542241215705872
aircraft,bobsled,4,0.2274426817893982,0.7725573182106018
aircraft,luge,4,0.1974892616271972,0.8025107383728027
aircraft,toboggan,4,0.1863841712474823,0.8136158287525177
vessel,galley,1,0.6845404505729675,0.31545954942703247
vessel,ship,1,0.5293698310852051,0.4706301689147949
vessel,yacht,1,0.620132327079773,0.37986767292022705
vessel,boat,1,0.7259718179702759,0.2740281820297241
vessel,hovercraft,2,0.2777303457260132,0.7222696542739868
vessel,spacecraft,2,0.493790715932846,0.5062092840671539
vessel,starship,3,0.5721094012260437,0.4278905987739563
vessel,lander,3,0.267133355140686,0.732866644859314
vessel,steamroller,3,0.3075828552246094,0.6924171447753906
vessel,sled,3,0.2083271294832229,0.791672870516777
vessel,bobsled,4,0.2048163712024688,0.7951836287975312
vessel,luge,4,0.2871899306774139,0.7128100693225861
vessel,toboggan,4,0.1089294105768203,0.8910705894231797
galley,ship,2,0.5573647022247314,0.44263529777526855
galley,yacht,2,0.5936810374259949,0.4063189625740051
galley,boat,2,0.6590883731842041,0.3409116268157959
galley,hovercraft,3,0.3259345889091491,0.6740654110908508
galley,spacecraft,3,0.4708942770957947,0.5291057229042053
galley,starship,4,0.4808193445205688,0.5191806554794312
galley,lander,4,0.2814672887325287,0.7185327112674713
galley,steamroller,4,0.2954421639442444,0.7045578360557556
galley,sled,4,0.2164637148380279,0.783536285161972
galley,bobsled,5,0.2542768716812134,0.7457231283187866
