word1,word2,taxonomic_distance,cosine_similarity
ship,bobsled,5,0.19528627395629883
ship,luge,5,0.3946636915206909
ship,toboggan,5,0.19152218103408813
yacht,boat,2,0.7571236491203308
yacht,hovercraft,3,0.29974523186683655
yacht,spacecraft,3,0.3639145493507385
yacht,starship,4,0.5314949750900269
yacht,lander,4,0.2429307997226715
yacht,steamroller,4,0.25485408306121826
yacht,sled,4,0.26020610332489014
yacht,bobsled,5,0.3346186578273773
yacht,luge,5,0.20761682093143463
yacht,toboggan,5,0.12396496534347534
boat,hovercraft,3,0.34027644991874695
boat,spacecraft,3,0.44448649883270264
boat,starship,4,0.5667616128921509
boat,lander,4,0.3307057023048401
boat,steamroller,4,0.41125866770744324
boat,sled,4,0.26316535472869873
boat,bobsled,5,0.37240150570869446
boat,luge,5,0.31607741117477417
boat,toboggan,5,0.1954352855682373
hovercraft,spacecraft,2,0.3883711099624634
hovercraft,starship,3,0.31483423709869385
hovercraft,lander,3,0.24238768219947815
hovercraft,steamroller,3,0.3474756181240082
hovercraft,sled,3,0.340590238571167
hovercraft,bobsled,4,0.3334655165672302
hovercraft,luge,4,0.292229026556015
hovercraft,toboggan,4,0.2588586211204529
spacecraft,starship,1,0.5332657098770142
spacecraft,lander,1,0.24243426322937012
spacecraft,steamroller,3,0.30873286724090576
spacecraft,sled,3,0.18738318979740143
spacecraft,bobsled,4,0.3003823161125183
spacecraft,luge,4,0.22914792597293854
spacecraft,toboggan,4,0.1632470041513443
starship,lander,2,0.24972426891326904
starship,steamroller,4,0.25443217158317566
starship,sled,4,0.21065527200698853
starship,bobsled,5,0.20594514906406403
starship,luge,5,0.31740838289260864
starship,toboggan,5,0.14382073283195496
lander,steamroller,4,0.3079177439212799
lander,sled,4,0.2710835039615631
lander,bobsled,5,0.18481780588626862
lander,luge,5,0.2615530490875244
lander,toboggan,5,0.2884513735771179
steamroller,sled,2,0.24567747116088867
steamroller,bobsled,3,0.31649017333984375
steamroller,luge,3,0.23341365158557892
steamroller,toboggan,3,0.26744937896728516
sled,bobsled,1,0.24595913290977478
sled,luge,1,0.5084185004234314
sled,toboggan,1,0.25326573848724365
bobsled,luge,2,0.3403131365776062
bobsled,toboggan,2,0.28626787662506104
luge,toboggan,2,0.2801564335823059
